genome,completeness,contamination,length,N50
GCA_945788655.1_SRR3178346_bin.4_metaWRAP_v1.3_MAG_genomic.fna,83.33,1.06,1305861,9790
GCA_945827545.1_SRR5240741_bin.6_metaWRAP_v1.3_MAG_genomic.fna,96.81,0.0,2199152,26732
GCA_945827555.1_SRR5240748_bin.7_metaWRAP_v1.3_MAG_genomic.fna,99.29,0.0,1852803,25052
GCA_945828025.1_SRR5240743_bin.29_metaWRAP_v1.3_MAG_genomic.fna,98.23,0.71,1960047,42467
GCA_945828095.1_SRR5240748_bin.16_metaWRAP_v1.3_MAG_genomic.fna,97.07,0.0,2136969,24987
GCA_945828505.1_SRR5240728_bin.13_metaWRAP_v1.3_MAG_genomic.fna,94.33,1.49,1625585,33161
GCA_945828855.1_SRR5240749_bin.6_metaWRAP_v1.3_MAG_genomic.fna,86.64,0.29,1531804,6800
GCA_945829275.1_SRR5240748_bin.34_metaWRAP_v1.3_MAG_genomic.fna,79.4,0.0,1932805,7537
GCA_945829385.1_SRR5240745_bin.25_metaWRAP_v1.3_MAG_genomic.fna,98.23,0.0,1826917,43424
GCA_945864645.1_SRR17382097_bin.58_metaWRAP_v1.3_MAG_genomic.fna,98.58,0.0,1946087,90945
GCA_945868285.1_ERR1855546_bin.3_metaWRAP_v1.3_MAG_genomic.fna,99.29,0.0,1789435,24845
GCA_945870815.1_ERR1855540_bin.19_metaWRAP_v1.3_MAG_genomic.fna,96.81,0.0,2196436,26732
GCA_945871825.1_SRR15732364_bin.35_metaWRAP_v1.3_MAG_genomic.fna,93.62,0.0,2156343,16173
GCA_945872635.1_SRR15732360_bin.13_metaWRAP_v1.3_MAG_genomic.fna,98.58,0.0,2041673,75519
GCA_945873875.1_SRR17382100_bin.10_metaWRAP_v1.3_MAG_genomic.fna,61.14,1.06,1179923,5098
GCA_945875095.1_ERR1855535_bin.15_metaWRAP_v1.3_MAG_genomic.fna,94.33,1.49,1616162,33161
GCA_945875145.1_ERR1855537_bin.32_metaWRAP_v1.3_MAG_genomic.fna,88.49,1.42,1424894,8565
GCA_945875665.1_SRR17382101_bin.23_metaWRAP_v1.3_MAG_genomic.fna,98.58,0.35,2607028,42768
GCA_945876075.1_SRR15732360_bin.25_metaWRAP_v1.3_MAG_genomic.fna,99.29,0.87,2153859,183533
GCA_945876165.1_SRR17382099_bin.61_metaWRAP_v1.3_MAG_genomic.fna,95.92,0.0,2359575,22787
GCA_945877925.1_ERR1855546_bin.39_metaWRAP_v1.3_MAG_genomic.fna,79.4,0.0,1939885,7537
GCF_000293155.1_MspCM50v1.0_genomic.fna,98.58,0.0,1888523,113647
GCF_000426305.1_ASM42630v1_genomic.fna,99.29,0.35,3263520,129426
GCF_000525775.1_MtimATCC33093v1.0_genomic.fna,98.58,0.0,1806210,107937
GCF_000688015.1_ASM68801v1_genomic.fna,97.87,0.35,2301752,2301752
GCF_001940235.1_ASM194023v1_genomic.fna,98.23,0.71,2814507,2803543
GCF_002243385.1_ASM224338v1_genomic.fna,97.99,0.71,1862768,1862768
GCF_002998925.1_ASM299892v1_genomic.fna,99.29,0.0,1815831,1815831
GCF_003472745.1_ASM347274v1_genomic.fna,99.29,0.71,4252614,911853
GCF_004103735.1_ASM410373v1_genomic.fna,99.29,0.35,2750839,2750839
GCF_004362975.1_ASM436297v1_genomic.fna,98.94,0.0,2286758,46805
GCF_009695865.1_ASM969586v1_genomic.fna,99.29,0.0,2019788,334353
GCF_009695905.1_ASM969590v1_genomic.fna,99.29,0.0,2054617,101405
GCF_009695915.1_ASM969591v1_genomic.fna,98.23,0.0,2438520,264898
GCF_009910895.1_ASM991089v1_genomic.fna,98.94,0.24,3193614,106692
GCF_009936045.1_ASM993604v1_genomic.fna,98.94,0.38,3387111,164848
GCF_009936115.1_ASM993611v1_genomic.fna,98.94,0.24,3193937,106692
GCF_010120715.1_ASM1012071v1_genomic.fna,96.45,0.35,3512404,3512404
GCF_010669305.1_ASM1066930v1_genomic.fna,98.58,1.06,3334849,3334849
GCF_013394805.1_ASM1339480v1_genomic.fna,98.58,0.71,1859163,1046411
GCF_014306095.1_ASM1430609v1_genomic.fna,94.29,1.65,2097162,23786
GCF_014333425.1_ASM1433342v1_genomic.fna,99.29,0.71,3442329,145981
GCF_014385065.1_ASM1438506v1_genomic.fna,98.23,0.71,2251989,591350
GCF_014982745.1_ASM1498274v1_genomic.fna,99.29,0.0,1605867,129769
GCF_017168145.1_ASM1716814v1_genomic.fna,99.29,0.71,3379226,691148
GCF_017255415.1_ASM1725541v1_genomic.fna,98.94,1.77,3219148,465412
GCF_018128545.1_ASM1812854v1_genomic.fna,99.96,1.77,4778346,225014
GCF_020560745.1_ASM2056074v1_genomic.fna,99.29,1.89,4390792,124644
GCF_022845775.1_ASM2284577v1_genomic.fna,99.29,0.71,4364341,4364341
GCF_022845795.1_ASM2284579v1_genomic.fna,99.29,0.71,4364332,4364332
GCF_024125305.1_ASM2412530v1_genomic.fna,98.58,0.71,4309889,4307594
GCF_024459955.1_ASM2445995v1_genomic.fna,98.58,3.64,3976699,168420
GCF_900086585.1_PRJEB13931_genomic.fna,99.29,0.71,4661482,2076040
GCF_900102225.1_IMG-taxon_2623620515_annotated_assembly_genomic.fna,99.65,0.71,2158512,77437
GCF_900104645.1_PRJEB16358_genomic.fna,97.87,0.71,1450823,1074860
GCF_900115385.1_IMG-taxon_2654588172_annotated_assembly_genomic.fna,99.65,0.71,2275694,82064
GCF_900116785.1_IMG-taxon_2657244902_annotated_assembly_genomic.fna,99.65,0.71,2277081,77864
GCF_900155555.1_PRJEB18028_genomic.fna,99.29,0.0,2086038,672081
GCF_900605495.1_PRJEB29282_genomic.fna,100.0,2.84,4516356,862596
GCF_902375995.1_MGYG-HGUT-01547_genomic.fna,99.29,0.71,4661482,2076040
GCF_943192965.1_Eubacteriaceae_gen_nov1_DSM109599_genomic.fna,99.65,0.24,3068347,150530
GCF_943192975.1_Eubacteriaceae_gen_nov1_DSM106208_genomic.fna,98.94,0.0,3236142,252399
CMC001.B.bin.r.58.fa,57.82,0.0,672374,4023
CMC010.B.bin.r.43.fa,88.65,0.0,1502474,52931
CMC017.B.bin.r.90.fa,52.72,1.09,591826,2097
CMC018.B.bin.r.71.fa,85.82,0.0,1260789,52935
CMC022.B.bin.r.112.fa,91.49,0.0,1381228,78182
CMC023.A.bin.r.36.fa,90.07,0.0,1527754,49216
CMC024.B.bin.r.1.fa,90.07,0.0,1346937,145638
CMC025.B.bin.r.89.fa,51.03,0.0,644900,2739
CMC026.B.bin.r.75.fa,87.94,0.0,1283108,61264
CMC035.B.bin.r.73.fa,92.2,0.71,1450339,108844
CMC038.A.bin.r.94.fa,90.07,0.0,1367848,46611
CMC038.B.bin.r.113.fa,91.49,0.0,1389951,65302
ERS11702722.bin.r.2.fa,93.19,0.0,1525491,44017
ERS11702723.bin.r.4.fa,94.33,5.2,1644836,82990
ERS11702724.bin.r.3.fa,87.23,0.0,1264540,100690
ERS11702727.bin.r.3.fa,92.2,0.0,1480304,40798
ERS11702728.bin.r.2.fa,65.46,0.0,779077,3847
ERS11702729.bin.r.1.fa,94.33,0.0,1523531,106350
ERS11702731.bin.r.10.fa,94.33,0.0,1472495,26752
ERS11702732.bin.r.2.fa,94.33,0.0,1452745,104884
ERS11702738.bin.r.6.fa,88.3,1.11,1174427,9671
ERS11702741.bin.r.6.fa,93.62,0.0,1423006,48542
ERS11702742.bin.r.2.fa,94.33,0.0,1520141,93474
ERS11702745.bin.r.1.fa,75.92,1.83,1144836,4811
ERS11702746.bin.r.2.fa,92.2,1.42,1335017,32428
ERS11702747.bin.r.4.fa,94.33,0.0,1438052,79261
ERS11702748.bin.r.4.fa,76.67,1.65,1112198,5259
ERS11702749.bin.r.1.fa,94.33,0.71,1559800,103450
ERS11702750.bin.r.2.fa,94.33,0.0,1513289,97088
ERS11702751.bin.r.3.fa,92.91,0.71,1366678,97471
ERS11702752.bin.r.1.fa,87.89,0.07,1243231,9542
ERS11702754.bin.r.3.fa,91.84,0.71,1391732,25333
ERS11702757.bin.r.2.fa,92.2,1.42,1446270,103352
ERS11702758.bin.r.4.fa,93.62,0.0,1449400,108417
ERS11702760.bin.r.4.fa,81.2,2.55,1067726,3206
ERS11702762.bin.r.1.fa,94.33,1.77,1420586,28994
ERS11702763.bin.r.2.fa,92.91,0.0,1417754,104517
ERS11702764.bin.r.2.fa,91.6,1.56,1358290,9224
ERS11702766.bin.r.1.fa,89.29,1.65,1392867,21359
ERS11702767.bin.r.1.fa,94.33,0.71,1597033,125097
ERS11702768.bin.r.3.fa,93.26,0.02,1325469,29097
ERS11702769.bin.r.4.fa,93.62,0.0,1445832,97331
ERS11702770.bin.r.4.fa,87.94,0.0,1266674,21692
ERS11702771.bin.r.4.fa,92.91,0.0,1356509,31913
ERS11702772.bin.r.2.fa,92.2,0.0,1328520,52923
ERS11702774.bin.r.6.fa,94.33,0.0,1509845,99039
ERS11702775.bin.r.6.fa,93.62,0.0,1384606,90640
ERS11702776.bin.r.2.fa,93.62,0.0,1385543,104627
ERS11702777.bin.r.3.fa,94.33,0.71,1406489,42753
ERS11702779.bin.r.3.fa,94.18,0.0,1421716,43755
ERS11702780.bin.r.5.fa,94.33,0.0,1435394,82716
ERS11702781.bin.r.3.fa,93.62,0.0,1447068,99121
ERS11702782.bin.r.1.fa,94.33,0.71,1370409,33737
ERS11702783.bin.r.2.fa,92.2,0.0,1394025,32980
ERS11702784.bin.r.4.fa,89.89,0.24,1211118,17527
ERS11702789.bin.r.6.fa,94.33,0.71,1436802,93529
ERS11702790.bin.r.1.fa,93.62,0.0,1442143,61216
ERS11702792.bin.r.3.fa,67.64,0.0,875944,2213
ERS11702793.bin.r.5.fa,94.33,0.0,1367796,103373
ERS11702795.bin.r.3.fa,92.91,1.77,1380837,17919
ERS11702798.bin.r.3.fa,91.47,1.42,1320525,13540
ERS11702799.bin.r.1.fa,94.33,0.71,1393569,104034
ERS11702800.bin.r.3.fa,93.62,1.09,1358295,30817
ERS11702801.bin.r.6.fa,94.33,1.06,1362381,50105
ERS11702802.bin.r.1.fa,95.04,0.0,1524874,82721
ERS11702803.bin.r.1.fa,54.58,0.53,716190,1799
ERS11702805.bin.r.1.fa,94.33,0.71,1519057,97029
ERS11702806.bin.r.2.fa,93.62,0.0,1419152,52075
ERS11702808.bin.r.1.fa,92.91,0.0,1323076,66802
ERS11702809.bin.r.4.fa,92.91,0.0,1363081,103913
ERS11702810.bin.r.5.fa,92.91,0.0,1334365,86441
ERS11702812.bin.r.1.fa,94.33,0.71,1547466,55720
ERS11702814.bin.r.2.fa,92.2,0.71,1364134,51302
ERS2985743.bin.r.17.fa,94.33,0.75,1430003,62593
ERS2985744.bin.r.1.fa,94.33,0.0,1450868,103694
ERS2985746.bin.r.1.fa,85.44,2.5,1229292,8547
ERS2985748.bin.r.1.fa,94.33,1.42,1401214,93649
ERS2985749.bin.r.10.fa,81.84,0.71,1049484,6196
ERS2985750.bin.r.6.fa,86.17,1.06,1103054,12463
ERS2985751.bin.r.3.fa,91.49,0.02,1304138,48133
ERS2985756.bin.r.9.fa,94.33,0.0,1488252,115295
ERS2985759.bin.r.9.fa,92.91,0.0,1359914,127010
ERS2985761.bin.r.8.fa,94.33,0.73,1343874,37748
ERS2985763.bin.r.4.fa,80.19,0.78,1066132,5033
ERS2985764.bin.r.1.fa,84.93,2.5,1223182,8571
ERS2985766.bin.r.2.fa,88.65,0.02,1399579,114660
ERS2985769.bin.r.4.fa,92.2,0.0,1491552,83987
ERS2985770.bin.r.2.fa,93.62,0.02,1386114,101570
ERS2985771.bin.r.3.fa,55.44,1.02,781679,2917
ERS2985773.bin.r.2.fa,93.62,2.13,1484509,109731
ERS2985774.bin.r.4.fa,83.28,3.01,1154418,9327
ERS2985775.bin.r.8.fa,92.2,0.71,1505629,98899
ERS2985776.bin.r.12.fa,94.33,1.42,1556109,139397
ERS2985777.bin.r.1.fa,94.33,0.35,1382435,97431
ERS2985779.bin.r.2.fa,91.58,0.35,1458171,27574
ERS2985780.bin.r.3.fa,94.33,0.0,1570417,82829
ERS2985784.bin.r.6.fa,95.04,1.42,1424507,86700
ERS3395767.bin.r.9.fa,84.75,0.0,1028624,5449
ERS3636092.bin.r.8.fa,93.97,0.02,1256946,48387
ERS3774416.bin.r.1.fa,88.65,0.02,1343168,13287
ERS3774418.bin.r.2.fa,86.88,0.63,1429083,11856
ERS3774422.bin.r.21.fa,90.78,0.0,1389938,98394
ERS3774458.bin.r.5.fa,55.58,0.0,586684,2719
ERS3774460.bin.r.6.fa,94.33,0.0,1417712,52926
ERS3774463.bin.r.5.fa,62.96,3.22,823321,1924
ERS3774465.bin.r.2.fa,93.62,0.71,1364212,23125
ERS3774468.bin.r.2.fa,94.33,0.0,1366658,82992
ERS3774474.bin.r.1.fa,82.37,1.77,1183225,4362
ERS3774475.bin.r.2.fa,77.38,0.71,996409,4190
ERS3774477.bin.r.1.fa,88.38,0.71,1250620,8321
ERS3774478.bin.r.2.fa,84.03,2.71,1089711,5964
ERS3774482.bin.r.3.fa,91.49,0.0,1334546,20398
ERS3774484.bin.r.4.fa,88.3,0.0,1243730,9217
ERS3887047.bin.r.3.fa,58.16,0.73,764190,2091
ERS4042406.bin.r.4.fa,92.91,0.0,1408690,81454
ERS4042423.bin.r.10.fa,94.33,0.0,1423098,103373
ERS4042427.bin.r.2.fa,94.33,0.0,1527852,113450
ERS4042431.bin.r.1.fa,92.91,0.0,1398724,103363
ERS4042435.bin.r.12.fa,94.33,0.0,1402050,52885
ERS6205385.bin.r.3.fa,78.52,1.03,1038720,5278
ERS6205386.bin.r.4.fa,85.82,0.73,1279509,7375
ERS6205387.bin.r.5.fa,94.33,0.0,1386964,49983
ERS6205388.bin.r.5.fa,94.18,0.0,1366890,25228
ERS6205390.bin.r.1.fa,89.69,1.77,1247584,12860
ERS6205391.bin.r.9.fa,94.33,0.0,1475481,98578
ERS6205392.bin.r.2.fa,94.33,0.0,1386262,34850
ERS6205394.bin.r.1.fa,91.64,0.0,1281949,25932
ERS6205395.bin.r.1.fa,92.91,0.0,1467587,64435
ERS6205396.bin.r.1.fa,94.33,0.0,1469273,98722
ERS6205397.bin.r.1.fa,93.62,0.0,1480534,82842
ERS6205398.bin.r.8.fa,93.97,0.0,1397323,95056
ERS6205399.bin.r.1.fa,92.91,0.0,1443335,104508
ERS6205401.bin.r.4.fa,94.33,0.0,1498646,101814
ERS6205402.bin.r.3.fa,79.48,2.68,1079301,3152
ERS6256686.bin.r.3.fa,89.36,3.14,1249188,9883
ERS6256687.bin.r.19.fa,88.92,0.35,1204889,12460
ERS6256688.bin.r.3.fa,93.62,2.13,1495102,45200
ERS6256689.bin.r.10.fa,90.25,1.46,1207662,7167
ERS6256692.bin.r.6.fa,93.62,0.85,1317581,23213
ERS6256693.bin.r.15.fa,93.62,0.0,1276075,36777
ERS6256694.bin.r.5.fa,78.77,3.57,1020787,4236
ERS6256698.bin.r.9.fa,89.65,1.06,1317495,23364
ERS6256699.bin.r.19.fa,93.05,0.73,1473808,43909
ERS6256700.bin.r.5.fa,69.89,0.02,850386,4668
ERS6256701.bin.r.1.fa,94.33,0.16,1339722,43956
ERS6256702.bin.r.4.fa,94.33,0.0,1492797,91583
ERS6256703.bin.r.5.fa,93.62,0.0,1306488,33848
ERS6256704.bin.r.18.fa,91.49,0.02,1303286,83710
ERS6256705.bin.r.2.fa,81.74,1.77,1116215,5944
ERS6256706.bin.r.10.fa,90.07,3.27,1320671,16466
ERS6256708.bin.r.14.fa,86.86,0.0,1199257,15264
ERS6256711.bin.r.8.fa,60.52,1.95,813321,3212
ERS6256712.bin.r.1.fa,91.49,2.2,1225688,12518
ERS6256713.bin.r.8.fa,88.65,0.89,1334772,27908
ERS6256714.bin.r.8.fa,64.05,1.28,908121,2110
ERS6256716.bin.r.10.fa,90.5,2.04,1269302,13086
ERS6256717.bin.r.3.fa,88.48,0.0,1143948,12695
ERS6256718.bin.r.8.fa,93.51,0.0,1352805,55478
ERS6256719.bin.r.10.fa,73.5,0.02,965726,3868
ERS6256721.bin.r.2.fa,84.93,1.84,1124916,5223
ERS6256724.bin.r.9.fa,51.79,3.1,796606,1629
ERS6256726.bin.r.12.fa,68.92,1.42,941195,3841
ERS6256727.bin.r.9.fa,91.71,0.0,1260344,30150
ERS6636085.bin.r.1.fa,92.91,1.42,1246620,33211
ERS6636090.bin.r.1.fa,92.2,0.0,1305090,17829
ERS6636099.bin.r.2.fa,94.33,0.0,1346084,91624
ERS6636154.bin.r.10.fa,94.33,0.71,1530666,82666
ERSX0002001.bin.r.19.fa,87.23,0.0,1232186,127561
ERSX0003001.bin.r.16.fa,93.62,0.0,1283429,97393
ERSX0003002.bin.r.10.fa,94.33,0.0,1272576,103136
ERSX0003003.bin.r.18.fa,93.62,0.0,1449619,103365
ERSX0004017.bin.r.2.fa,94.33,0.0,1453275,82406
ERSX0004019.bin.r.5.fa,91.11,0.0,1296666,34986
ERSX0004021.bin.r.8.fa,92.55,0.0,1410193,32109
ERSX0004030.bin.r.5.fa,50.1,0.0,583828,3074
ERSX0004033.bin.r.2.fa,90.78,0.71,1254154,8327
ERSX0004050.bin.r.2.fa,74.69,1.77,1005784,2637
ERSX0004057.bin.r.4.fa,94.33,0.0,1532507,73107
ERSX0004058.bin.r.4.fa,92.2,1.89,1332175,14663
ERSX0004059.bin.r.2.fa,94.33,0.0,1435009,83877
ERSX0004066.bin.r.3.fa,89.36,3.55,1464890,27698
ERSX0004077.bin.r.4.fa,69.49,1.32,948342,2883
ERSX0004078.bin.r.1.fa,78.02,4.35,1152632,4117
ERSX0004082.bin.r.2.fa,92.91,0.0,1370109,36281
ERSX0004083.bin.r.6.fa,94.33,0.0,1419423,102295
ERSX0004084.bin.r.3.fa,95.04,1.42,1456928,74412
ERSX0004085.bin.r.4.fa,94.33,0.0,1448234,82618
ERSX0004087.bin.r.1.fa,91.84,0.35,1317586,19909
ERSX0004102.bin.r.1.fa,94.33,0.0,1552693,55617
ERSX0004103.bin.r.2.fa,92.91,0.0,1359055,107240
SRS11653536.bin.r.2.fa,71.68,0.83,844835,2557
SRS11653539.bin.r.2.fa,94.33,0.0,1487708,35814
SRS11653551.bin.r.1.fa,91.84,0.85,1250609,12486
SRS11653582.bin.r.1.fa,52.67,1.06,574034,1697
SRS11653583.bin.r.1.fa,88.65,0.0,1307220,16236
SRS11653584.bin.r.2.fa,85.46,0.78,1195022,8456
SRS11653589.bin.r.1.fa,55.47,1.6,687763,1780
SRS11653590.bin.r.1.fa,50.22,1.09,550984,1612
SRS11653591.bin.r.4.fa,91.49,0.0,1333216,30724
SRS11653593.bin.r.5.fa,77.2,0.14,1030293,4179
SRS11653594.bin.r.2.fa,74.33,0.07,958254,3823
SRS11653597.bin.r.2.fa,76.66,2.79,998449,2643
SRS11653610.bin.r.2.fa,62.68,2.13,774954,2928
SRS15300787.bin.r.20.fa,94.15,3.66,1370037,38181
SRS15300788.bin.r.9.fa,94.33,0.0,1410402,98075
SRS15300790.bin.r.4.fa,75.43,1.39,907536,2463
SRS15300793.bin.r.3.fa,94.33,0.0,1575083,77958
SRS15300794.bin.r.2.fa,94.33,0.0,1550810,92601
SRS15300795.bin.r.8.fa,93.62,0.0,1395247,40656
SRS15300800.bin.r.6.fa,94.33,1.42,1316093,73550
SRS15300801.bin.r.19.fa,94.33,1.6,1532534,103520
SRS15300802.bin.r.2.fa,94.33,0.71,1467415,97528
SRS15300805.bin.r.7.fa,94.33,0.0,1487989,103356
SRS15300807.bin.r.18.fa,88.63,2.84,1226846,8754
SRS15300808.bin.r.2.fa,68.27,0.78,854365,2059
SRS15300811.bin.r.6.fa,94.33,0.0,1385948,97355
SRS3078087.bin.r.3.fa,76.36,0.97,1005578,4221
SRS3078091.bin.r.6.fa,94.33,1.77,1545174,85760
SRS3078097.bin.r.2.fa,90.78,0.24,1482539,52789
SRS3078111.bin.r.1.fa,90.07,0.0,1357302,17042
SRS3078126.bin.r.2.fa,91.84,0.78,1321461,17094
SRS3078131.bin.r.1.fa,93.62,0.71,1341199,31685
SRS3078139.bin.r.2.fa,91.13,0.71,1316430,20986
SRS3078155.bin.r.1.fa,85.1,0.24,1101953,5616
SRS3078156.bin.r.9.fa,92.91,0.78,1427090,53355
SRS3078158.bin.r.4.fa,95.04,1.65,1514144,55696
SRS3078160.bin.r.4.fa,92.2,0.02,1442417,24681
SRS3078163.bin.r.2.fa,94.56,0.0,1301207,54529
SRS3078175.bin.r.3.fa,91.26,0.26,1346677,12233
SRS3078181.bin.r.3.fa,77.55,2.01,922934,2571
SRS3078183.bin.r.2.fa,90.17,0.35,1246817,7312
SRS3078192.bin.r.5.fa,89.05,0.97,1181943,7905
SRS3078195.bin.r.11.fa,91.49,0.0,1309057,99608
SRS3078197.bin.r.1.fa,92.2,0.71,1525016,52385
SRS3078198.bin.r.3.fa,83.68,3.43,994717,4781
SRS3078200.bin.r.2.fa,93.62,0.0,1408876,34911
SRS3078201.bin.r.6.fa,64.08,0.71,786410,3601
SRS3078204.bin.r.31.fa,94.33,1.42,1547845,97096
SRS4625244.bin.r.8.fa,87.97,2.02,1203647,8954
SRS4625245.bin.r.10.fa,94.33,0.71,1568110,103446
SRS4625248.bin.r.2.fa,92.91,0.07,1378302,65675
SRS473742.bin.r.1.fa,58.86,0.14,799859,2490
SRS473746.bin.r.29.fa,82.62,2.13,1292328,109223
SRS6212649.bin.r.11.fa,92.2,0.71,1457638,101654
SRS6212650.bin.r.1.fa,92.91,0.38,1415918,34827
SRS6212651.bin.r.4.fa,94.33,0.71,1501409,106272
SRS6212652.bin.r.4.fa,94.33,0.0,1465556,65749
SRS6212654.bin.r.2.fa,94.33,0.0,1414289,80924
SRS6212655.bin.r.6.fa,94.33,0.71,1435890,103367
SRS6212656.bin.r.4.fa,89.88,0.95,1343317,7010
SRS6212658.bin.r.3.fa,94.33,0.0,1500731,112715
SRS6212660.bin.r.3.fa,92.2,0.0,1487227,73802
SRS6212661.bin.r.1.fa,93.62,0.0,1463701,56917
SRS6212663.bin.r.2.fa,91.49,0.71,1332146,100640
SRS7212788.bin.r.6.fa,91.27,0.97,1258245,9937
SRS7212792.bin.r.3.fa,90.51,1.8,1451814,15629
SRS7212798.bin.r.2.fa,92.2,0.0,1540101,143221
SRS7212800.bin.r.4.fa,87.85,2.36,1272434,7571
SRS7212801.bin.r.2.fa,74.72,2.84,1021374,4599
SRS7212802.bin.r.4.fa,94.33,0.57,1337764,31939
SRS7890498.bin.r.2.fa,70.35,2.72,970866,2306
SRS7967575.bin.r.3.fa,79.44,1.42,1152302,6000
SRS7967576.bin.r.4.fa,78.42,3.28,1105452,2345
SRS9263818.bin.r.3.fa,51.83,5.09,859240,1931
SRS9263822.bin.r.8.fa,86.7,1.42,1246267,7278
CMC038.A.bin.r.114.fa,51.68,0.95,606801,2253
CMC038.B.bin.r.112.fa,83.75,0.24,987164,10455
ERS2985770.bin.r.10.fa,81.05,0.97,951135,7000
ERS2985784.bin.r.10.fa,62.47,2.13,760891,2208
ERS2985773.bin.r.8.fa,77.7,2.48,991717,3799
ERSX0003003.bin.r.25.fa,88.91,0.73,1173904,9123
ERSX0002001.bin.r.25.fa,91.67,0.24,1245242,45580
ERS12516970.bin.r.16.fa,86.35,0.24,1176998,10678
ERS3774468.bin.r.20.fa,88.83,0.26,1155326,17144
ERS6256718.bin.r.7.fa,78.14,0.24,906137,5345
ERS6256699.bin.r.23.fa,80.26,1.9,910357,6960
ERS6256704.bin.r.15.fa,66.91,1.44,743850,4432
ERS3774468.bin.r.19.fa,85.93,0.71,953265,45498
SRS15300805.bin.r.19.fa,71.27,1.42,710250,3571
ERSX0003002.bin.r.27.fa,76.18,0.83,827947,8075
ERSX0003003.bin.r.12.fa,87.71,2.26,1015822,26593
ERS6636090.bin.r.4.fa,62.85,3.78,721000,2347
ERS6636099.bin.r.8.fa,64.31,2.62,727434,2722
SRS7212803.bin.r.2.fa,69.6,2.72,841447,2608
ERS6636154.bin.r.5.fa,80.19,1.65,970292,3464
SRS9263818.bin.r.5.fa,57.91,1.09,644997,2034
ERS4042423.bin.r.16.fa,78.14,0.59,804605,5780
ERS2985759.bin.r.5.fa,87.71,0.71,1072546,48816
ERS11702738.bin.r.8.fa,54.32,1.65,527397,2653
ERS4042427.bin.r.11.fa,55.18,1.42,634959,3055
ERS3636092.bin.r.1.fa,80.24,2.6,908568,4120
ERSX0003001.bin.r.17.fa,88.77,0.73,964403,18481
ERS6205397.bin.r.11.fa,56.04,2.3,650692,1981
ERSX0004009.bin.r.9.fa,73.4,1.11,746643,7220
ERSX0004011.bin.r.11.fa,61.96,0.71,609750,2966
ERS12516967.bin.r.61.fa,87.71,0.71,1022787,82816
ERS12516969.bin.r.8.fa,81.85,3.19,860689,6102
ERS12516962.bin.r.59.fa,67.83,1.28,781869,4334
CMC038.A.bin.r.47.fa,78.16,0.0,847933,17449
CMC038.B.bin.r.107.fa,61.78,1.72,612330,4839
ERS12516951.bin.r.9.fa,72.65,1.3,804030,5476
ERS12516980.bin.r.23.fa,71.39,0.53,781715,3732
ERS12516936.bin.r.32.fa,80.26,2.01,878420,12669
ERS12516978.bin.r.36.fa,85.93,0.95,981878,46699
ERS12516970.bin.r.144.fa,87.71,0.71,1059271,140532
CM_periimplantitis__SP_184SPT_T016__bin.9.fa,66.4893617,0.709219858,709358,4930
MGYG000298139.fna,56.94,0.71,577738,5651
ERS3395771.bin.r.11.fa,67.23,0.89,655478,3375
ERS3395772.bin.r.25.fa,83.1,0.71,957184,7506
ERS2985743.bin.r.19.fa,57.91,4.45,678464,2284
ERS2985785.bin.r.5.fa,53.93,1.42,520326,2047
ERS6205395.bin.r.12.fa,59.18,1.06,619756,4339
SRS15300788.bin.r.8.fa,76.9,2.88,808246,3833
ERS11702771.bin.r.6.fa,79.2,3.21,958383,6745
ERS11702777.bin.r.5.fa,64.14,3.44,774855,2742
ERSX0002001.bin.r.6.fa,65.63,2.01,612847,7326
ERSX0004058.bin.r.5.fa,52.82,1.44,542577,1925
ERS11702742.bin.r.3.fa,53.01,1.65,600502,2348
ERS11702731.bin.r.9.fa,62.62,1.42,647822,3933
ERS11702789.bin.r.1.fa,65.11,1.58,740165,5567
ERS2985784.bin.r.17.fa,62.87,3.39,703371,4680
ERS11702809.bin.r.5.fa,75.89,2.56,877996,5252
ERS11702747.bin.r.2.fa,51.59,0.91,575500,2017
ERS6205393.bin.r.10.fa,66.73,1.77,707785,3232
ERS11702776.bin.r.8.fa,67.59,3.19,877131,2900
ERS11702769.bin.r.1.fa,65.37,2.68,660490,2312
ERS2985742.bin.r.6.fa,53.75,2.9,617867,3459
ERS2985775.bin.r.10.fa,89.0,2.9,903713,5392
ERS11702801.bin.r.8.fa,84.52,3.01,1004261,19707
ERS2985776.bin.r.14.fa,56.0,4.48,633175,2506
ERS11702774.bin.r.7.fa,70.73,1.75,808632,3908
CM_periimplantitis__SP_323SPI_T016__bin.10.fa,52.26359338,0.709219858,538884,3030
ERS2985750.bin.r.17.fa,87.0,1.83,1032860,27991
ERS11702739.bin.r.4.fa,83.1,3.07,921735,5093
CM_periimplantitis__SP_304SPI_T016__bin.13.fa,63.17966903,1.418439716,590846,3428
ERS3395767.bin.r.17.fa,83.81,0.73,961466,7353
ERS11702732.bin.r.1.fa,70.03,1.68,738166,3386
ERS2985770.bin.r.13.fa,85.93,4.61,1014966,11677
SEQF1017.1.fna,88.42,0.71,1084901,1084901
ERS2985773.bin.r.3.fa,85.04,2.17,995836,12775
SRS473746.bin.r.45.fa,84.87,3.55,898372,15746
ERS3774485.bin.r.30.fa,80.79,0.71,866904,4223
ERS12516973.bin.r.10.fa,88.42,0.71,1052245,322306
